training_points,removed_position,removed_orientation,removed_leverage,replacement_orientation,replacement_leverage,retained_rank,condition_number,worst_normalized_error,tolerance_headroom,tolerance_safety_factor,limiting_R,minimum_guardrail_prediction,any_guardrail_below_warning,strict_pass
161,60,376,0.480821844463373,294,0.14745033504606417,158,69.366581118097812,0.41201068085716902,0.58798931914283092,2.4271215443239158,4.4000000000000004,5000.6688837342526,False,True
161,61,275,0.61131065765306691,294,0.14745033504606417,158,97.491470824145978,1.666962255790762,-0.66696225579076196,0.59989360678453207,4.4000000000000004,5000.5241848189371,False,False
161,62,110,0.59571425816255896,294,0.14745033504606417,158,151.47363919103617,0.82781487543536147,0.17218512456463853,1.2079995536128576,4.4000000000000004,5000.567484180162,False,True
161,63,43,0.43178903945398833,294,0.14745033504606417,158,79.375022841702119,0.54672376539293444,0.45327623460706556,1.8290772475955797,4.4000000000000004,5000.7604606961631,False,True
161,64,2,0.43436416673460998,294,0.14745033504606417,158,116.40862108661787,1.4223323460559647,-0.4223323460559647,0.70307056066954754,4.4000000000000004,5000.6741141906041,False,False
161,65,304,0.45542778178538401,294,0.14745033504606417,158,126.95508660271497,2.6419588022591949,-1.6419588022591949,0.37850703771189725,4.4000000000000004,5000.7667114627211,False,False
161,66,58,0.51678418289171013,294,0.14745033504606417,158,47.60731552558785,0.33887185033693562,0.66112814966306432,2.9509680400001175,5,5000.6686834758621,False,True
161,67,450,0.41257858305632389,294,0.14745033504606417,158,47.288845400969485,0.48718060765731908,0.51281939234268092,2.0526268580530118,4.4000000000000004,5000.7007670695648,False,True
161,68,261,0.45747074011551525,294,0.14745033504606417,158,70.142361946126684,2.2876871662591292,-1.2876871662591292,0.43712270399069447,4.4000000000000004,5000.6491568224455,False,False
161,69,152,0.42233046225079329,294,0.14745033504606417,158,194.52300657621529,3.7852072040342613,-2.7852072040342613,0.26418633012591841,4.4000000000000004,5000.6776385739258,False,False
161,70,162,0.4929244804011631,294,0.14745033504606417,158,177.31594954553711,3.1471188719669678,-2.1471188719669678,0.31775094639974438,4.4000000000000004,5000.6757630136599,False,False
161,71,290,0.45773545009686833,294,0.14745033504606417,158,49.065062398879711,1.1814446009686479,-0.1814446009686479,0.84642140577739799,4.4000000000000004,5000.6547034584055,False,False
161,72,372,0.48842680105863678,294,0.14745033504606417,158,63.575427914193682,0.41361212157833688,0.58638787842166318,2.4177241135584153,4.4000000000000004,5000.6727496407648,False,True
161,73,191,0.4768459363275786,294,0.14745033504606417,158,47.947184981394678,0.48725362756883789,0.51274637243116206,2.0523192510428725,4.4000000000000004,5000.667152478868,False,True
161,74,142,0.43058006533907045,294,0.14745033504606417,158,85.266343666405632,0.76601407533897192,0.23398592466102808,1.3054590407591218,4.4000000000000004,5000.594213147152,False,True
161,75,439,0.42182911035462051,294,0.14745033504606417,158,69.083978688206344,0.99674788882815368,0.0032521111718463169,1.003262721906208,4.4000000000000004,5000.6562859993837,False,True
161,76,100,0.4057359827658763,294,0.14745033504606417,158,47.328996731975245,0.45998927632927894,0.540010723670721,2.173963723632895,4.4000000000000004,5000.5960640534222,False,True
161,77,81,0.39507117559251181,294,0.14745033504606417,158,121.9985007777185,0.67461294718325748,0.32538705281674252,1.4823314675108832,4.4000000000000004,5000.7687966433068,False,True
161,78,446,0.41668504159824571,294,0.14745033504606417,158,50.559687818983356,0.44639936169807515,0.55360063830192485,2.240146572333936,4.4000000000000004,5000.7025472774476,False,True
161,79,420,0.38872418364568528,294,0.14745033504606417,158,48.330219595828318,0.46633762616261132,0.53366237383738868,2.144369109198367,4.4000000000000004,5000.6101001752913,False,True
161,80,165,0.40132478858271964,294,0.14745033504606417,158,79.267351758277186,0.50314050608949379,0.49685949391050621,1.9875163853775064,4.4000000000000004,5000.6700453067097,False,True
161,81,384,0.44089145809987257,294,0.14745033504606417,158,60.511490180638098,0.65975361217180839,0.34024638782819161,1.5157173550109901,4.4000000000000004,5000.8335697102202,False,True
161,82,25,0.3623482454816585,294,0.14745033504606417,158,49.251631848600113,0.47730178828407682,0.52269821171592312,2.0951105245070392,4.4000000000000004,5000.4849535359799,False,True
161,83,69,0.47317552505479593,294,0.14745033504606417,158,61.186521635197614,0.96070128902426311,0.039298710975736895,1.040906274848086,4.4000000000000004,5000.5593763455126,False,True
161,84,355,0.39461595422468693,294,0.14745033504606417,158,103.10440322889124,0.66423029159599256,0.33576970840400744,1.5055019511338907,4.4000000000000004,5000.6861807525438,False,True
161,85,211,0.40721267083973695,294,0.14745033504606417,158,185.18217636841828,8.4337955307491317,-7.4337955307491317,0.11857057671768989,4.4000000000000004,5000.6060268907158,False,False
